teff (K),abs (mag),spect
4274.362982,1.627,K1III
5977.60731,2.874,F6V
5435.561948,4.675,G5/G6V
5619.748139,4.533,G0V
5657.71959,4.535,F8V
3846.665287,0.817,K3III
3611.969354,-1.16,K5III
4251.717284,0.482,K1IV
3556.921489,-0.154,K3III
5481.070123,5.174,G3V
10867.53606,1.26,B9V
6403.686124,2.857,F2V
5298.007189,4.32,G5V
6198.264858,1.707,F3IV
5925.457649,3.649,G1IV...
6067.128027,3.09,F6/F7V
6488.574974,1.548,F2IV
5513.138907,3.211,G1V
10732.5933,-1.554,B9III
5895.557981,3.247,F6V
4382.147666,-0.188,G8III
3858.386236,-0.556,K1/K2III:
6445.78121,2.738,F2V
4505.642737,0.631,G9III
5684.684105,4.437,F6V
5096.796024,5.391,K0V
4396.357309,1.075,G8III
5803.990342,2.339,F7V
5650.074022,1.572,G2/G3V
6445.78121,2.126,F4IVws
6576.3342,3.213,F2IV
5676.947207,1.075,F5V
4231.220295,-0.893,K0III
4037.360576,-0.189,K3III
6488.574974,4.957,F2/F3V
4574.104081,0.586,G8III
7962.159958,2.712,A0V
5882.858873,3.771,F5V
9385.662985,2.284,A1V
6472.444261,2.092,F3V
7653.898239,2.693,A9V
5995.24689,4.787,F3V
6398.472457,3.048,F5IV-V
5604.737114,4.368,F8/G0V
4305.031221,-0.658,K1III
3610.72288,-1.138,K5III
6179.097417,3.554,F5V
4452.263883,1.826,K1IV
4680.646128,2.774,K0V
4445.964252,0.612,G8III
4965.477603,6.104,K0V
5619.748139,3.179,F7V
3412.238595,-0.71,M1III
10638.73515,0.098,B9IV
5661.552085,2.791,F8/G0V
4987.706984,1.002,G3III
4167.61191,1.348,K1/K2III
4324.48024,-0.337,M2III:
4223.827901,1.479,K2III
13965.06929,0.112,B8IIIsp...
8435.951274,1.459,A1V
4299.239049,1.242,K0/K1III
3716.645053,-0.738,K3III
3977.54046,0.456,K1IV
5986.410857,3.178,F5V
8283.535001,2.127,A3V
6321.520329,3.113,F3/F5V
7064.19109,3.572,A8/A9V
4388.223435,2.173,K0III
4238.645119,0.782,K1III
4249.843661,0.384,K1IIICN...
4048.932507,1.245,K2III
3833.585083,-1.051,K2III
6537.576459,3.126,F5V
5513.138907,4.848,G2/G3V
4404.52898,1.024,G8III:
4344.150422,2.185,K1III
4990.503175,4.59,K0V
4148.110119,2.227,K1IV
4130.577921,-0.625,K1III
6145.908227,1.331,F2V
5505.972004,4.63,G2V
8273.617567,2.446,A3III
4501.313509,0.724,K0III
5973.217658,2.138,F3/F5V
4479.822346,-1.425,G3II
3455.08798,-2.7,M0/M1IIICNp
3892.587453,0.162,K3III
5990.824801,3.654,F8IV
6131.820178,1.785,F3V
4249.843661,1.397,K0III
6141.203225,2.869,F3V
5646.260913,4.626,G2V
6094.643406,2.106,F5IV
6131.820178,2.682,F5V
4527.446045,0.533,K0III
4189.150016,-0.245,K1III
3482.133851,0.102,M2III
4299.239049,1.553,K0III
5527.542937,3.824,G0V
7526.196516,1.246,A4Vm
4386.195839,0.862,G9III
5138.512271,0.778,G4IV...
4929.877682,3.699,G8V
5799.912358,2.083,F6V
3873.163686,0.454,K3III
13149.29217,-1.208,B5V
5350.642385,3.695,G3V
6610.015901,1.155,F2IV
4536.241476,2.679,K2III
4406.577836,0.661,G8III
6261.600142,3.832,F6V
5442.501702,3.508,G2III
7847.307987,0.894,A7IV
6424.647477,0.975,F3V
4878.977684,4.62,G8/K0V
4448.061652,0.652,K0III
5387.595678,3.774,G3V
5298.007189,4.662,G3V
4464.930363,1.671,G8IV
4414.79715,1.27,K1III
4336.255552,1.495,K1III
5904.062214,1.655,F5/F6V
6013.017182,3.799,F5V
6755.138715,2.979,F0V
3570.183481,2.785,M1Ibpev comp
4580.868008,1.139,G8III
3562.934374,0.582,M2III
6306.406105,2.287,F3/F5V
4551.736768,6.49,K1/K2V
5442.501702,4.14,G3V
4871.060477,5.126,K1V
8205.017343,0.733,A6V
5619.748139,4.672,G2/G3V
4531.838426,0.151,K1II
4553.961197,1.359,K0III
8456.806544,1.451,A2V
11588.82455,0.683,B9V
4374.079267,0.828,K1/K2III
6212.738339,2.913,F3V
6117.812585,3.077,F5V
6451.091843,3.202,F0V
3817.748256,-0.236,K3III
5904.062214,2.601,F5V
5895.557981,2.894,F7V
6749.180489,0.838,F0III
6440.481492,3.08,F2/F3V
4534.038615,2.011,K1III
6472.444261,-2.874,F2II
6306.406105,3.022,F3V
6377.723436,3.725,F3/F5V
5960.09691,3.152,F5V
5684.684105,4.42,G2V
5973.217658,3.307,F7V
5887.084306,2.354,F7V
3615.715239,-0.701,M4III:
5995.24689,2.291,F2V
6048.956156,3.783,F6V
11824.61945,0.469,B7IV
3745.039785,-0.597,K4III
10620.20883,-2,B1V
4398.396672,1.372,K0III
5743.562896,2.774,F7IV
6655.602442,2.421,F3/F5IV+...
5340.673788,2.102,B7IIIe+K3III
5281.822639,2.26,G3V
4475.554832,1.464,K0III
5646.260913,3.623,G2V
8384.370814,-0.591,B7V
4416.857972,0.567,K0III
5791.777837,4.183,F5IV
4583.128211,0.788,K0III
3929.095054,0.475,M3III
6316.472199,3.98,F5V
3792.182858,8.383,M2V:
4074.01116,-0.781,K1III
5657.71959,2.641,F8/G0V
6067.128027,3.525,F5V
4200.023871,1.637,K2III
5256.182661,4.665,G6V
8584.700782,1.013,A3V
5087.966578,5.28,K0V
6131.820178,3.527,F3V
4940.763424,5.473,G6/G8V
6451.091843,1.596,F3V
4178.346269,1.479,K2III
5531.158665,4.51,G4V
3862.804658,-1.521,K2III
4488.387975,0.902,K0III
4724.052816,6.146,K1V
5751.529004,2.599,F7V
4664.033343,1.112,G8III
4549.515054,1.38,K0IV
5929.760032,3.626,F6V
8425.571757,-0.271,A0V
4330.35789,7.282,K5V
6198.264858,3.6,F3/F5V
6094.643406,3.677,F5V
5435.561948,3.97,G3/G5V
5604.737114,5.135,G3V
